ACCNR,YEAR,SPECIES,LOC,LAT,LONG,NHOM,ALDR,TOTL,TOTV,FPRC,CB28,CB52,CB101,CB118,CB153,CB138,CB180
P91/05387,1991,Herring,Ängskärsklubb (spring),60.53260784362712,18.162427330927617,NA,4,18.4,41,2.27,0.0176,0.0581,0.1877,0.2185,0.4634,0.4498,0.1934
P91/05388,1991,Herring,Ängskärsklubb (spring),60.53260784362712,18.162427330927617,NA,4,18.6,42,4,0.0137,0.0505,0.1425,0.1755,0.3658,0.339,0.1447
P91/05389,1991,Herring,Ängskärsklubb (spring),60.53260784362712,18.162427330927617,NA,4,19.1,48,2.87,0.0185,0.0693,0.2819,0.2916,0.7484,0.6902,0.3603
P91/05390,1991,Herring,Ängskärsklubb (spring),60.53260784362712,18.162427330927617,NA,4,18.4,47,7.53,0.011,0.0373,0.1088,0.1154,0.2364,0.2212,0.0907
P91/05391,1991,Herring,Ängskärsklubb (spring),60.53260784362712,18.162427330927617,NA,4,17.9,39,5.38,0.018,0.0275,0.0751,0.084,0.1691,0.1545,0.0572
P91/05392,1991,Herring,Ängskärsklubb (spring),60.53260784362712,18.162427330927617,NA,4,18.7,44,5.76,0.0116,0.0368,0.0948,0.1095,0.2016,0.1872,0.0731
P91/05393,1991,Herring,Ängskärsklubb (spring),60.53260784362712,18.162427330927617,NA,4,18,48,8.11,0.0134,0.0385,0.1129,0.1335,0.249,0.2376,0.0972
P91/05394,1991,Herring,Ängskärsklubb (spring),60.53260784362712,18.162427330927617,NA,4,19.1,53,3.29,0.0073,0.0231,0.0745,0.0872,0.2097,0.1851,0.0863
P91/05395,1991,Herring,Ängskärsklubb (spring),60.53260784362712,18.162427330927617,NA,4,17.3,37,4.5,0.0078,0.0198,0.0493,0.0609,0.1067,0.1064,0.0469
P91/05396,1991,Herring,Ängskärsklubb (spring),60.53260784362712,18.162427330927617,NA,4,18.8,45,5.59,0.0163,0.0635,0.2073,0.2179,0.4297,0.4213,0.1787
P91/05397,1991,Herring,Ängskärsklubb (spring),60.53260784362712,18.162427330927617,NA,4,18.3,41,3.94,0.0249,0.0911,0.2937,0.3292,0.6439,0.6018,0.2571
P91/03930,1991,Herring,Landsort,58.693635257492296,18.00425495822601,NA,4,19,49.8,6.92,0.009,0.0224,0.0432,0.0397,0.0578,0.0568,0.0157
P91/03931,1991,Herring,Landsort,58.693635257492296,18.00425495822601,NA,4,17.8,40.6,2.27,0.004,0.011,0.0558,0.0658,0.1722,0.1518,0.0464
P91/03932,1991,Herring,Landsort,58.693635257492296,18.00425495822601,NA,4,18.4,46.2,3.18,0.0041,0.0095,0.0325,0.0391,0.0906,0.0816,0.0217
P91/03933,1991,Herring,Landsort,58.693635257492296,18.00425495822601,NA,4,19.4,46.5,1.98,0.0064,0.0238,0.0708,0.077,0.1528,0.1423,0.0492
P91/03934,1991,Herring,Landsort,58.693635257492296,18.00425495822601,NA,4,18,42.4,3.11,0.0039,0.0098,0.04,0.0469,0.1083,0.092,0.0262
P91/03935,1991,Herring,Landsort,58.693635257492296,18.00425495822601,NA,4,19,50.5,1.4,0,0.0123,0.0661,0.0826,0.1867,0.1647,0.0483
P91/03936,1991,Herring,Landsort,58.693635257492296,18.00425495822601,NA,4,19.4,42.9,1.94,0.0139,0.0441,0.1085,0.0912,0.179,0.1695,0.0603
P91/03937,1991,Herring,Landsort,58.693635257492296,18.00425495822601,NA,4,18.1,38.1,1.54,0.0043,0.0103,0.0428,0.0459,0.1043,0.0961,0.0274
P91/03938,1991,Herring,Landsort,58.693635257492296,18.00425495822601,NA,4,19.1,54.2,3.04,0.0048,0.0079,0.0252,0.0336,0.0833,0.0663,0.0224
P91/03939,1991,Herring,Landsort,58.693635257492296,18.00425495822601,NA,4,17.3,40.8,3.48,0.0032,0.0086,0.0334,0.0376,0.079,0.0692,0.018
P91/03940,1991,Herring,Landsort,58.693635257492296,18.00425495822601,NA,4,21.2,67.7,4.35,0.01,0.0288,0.0723,0.0596,0.1034,0.0966,0.0249
P91/03941,1991,Herring,Landsort,58.693635257492296,18.00425495822601,NA,4,18.6,41.3,1.8,0,0.0056,0.0318,0.0496,0.1455,0.1221,0.0378
P91/03048,1991,Herring,Harufjärden,65.58247415499247,22.879089905589215,NA,4,17.3,31.2,1.9,0.0053,0.0182,0.0658,0.0544,0.122,0.1232,0.0542
P91/03049,1991,Herring,Harufjärden,65.58247415499247,22.879089905589215,NA,4,16.4,24.1,2.09,0,0.0122,0.0573,0.0508,0.1218,0.1215,0.0541
P91/03050,1991,Herring,Harufjärden,65.58247415499247,22.879089905589215,NA,4,17.7,33.8,3.17,0.0051,0.0161,0.0512,0.0408,0.0927,0.0915,0.0413
P91/03051,1991,Herring,Harufjärden,65.58247415499247,22.879089905589215,NA,4,17.5,31.3,3.42,0.0056,0.0169,0.0467,0.037,0.077,0.0792,0.0301
P91/03052,1991,Herring,Harufjärden,65.58247415499247,22.879089905589215,NA,4,16.5,27.3,1.8,0.0063,0.0255,0.0966,0.0757,0.1731,0.1711,0.0728
P91/03053,1991,Herring,Harufjärden,65.58247415499247,22.879089905589215,NA,4,16.8,26.6,2.18,0.0069,0.0248,0.0832,0.0683,0.1488,0.1523,0.0661
P91/04513,1991,Herring,Ängskärsklubb,60.53260784362712,18.162427330927617,NA,4,19.3,55.3,6.33,0,0.0057,0.0544,0.033,0.2419,0.2088,0.2029
P91/04514,1991,Herring,Ängskärsklubb,60.53260784362712,18.162427330927617,NA,4,19.2,48.9,2.53,0,0.0121,0.0685,0.0461,0.2455,0.2202,0.1604
P91/04515,1991,Herring,Ängskärsklubb,60.53260784362712,18.162427330927617,NA,4,19.2,51.2,2.13,0,0.0107,0.0624,0.0369,0.2433,0.2145,0.2169
